Format Version,1.23,Take Name,astro_optitrack_cuk_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-21 06.43.07.396 PM,Capture Start Frame,746709,Total Frames in Take,2851,Total Exported Frames,2851,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270
,ID,"462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-9.084138,144.314301,210.520935,,,
1,0.008000,-9.122204,144.328033,210.538849,,,
2,0.017000,-9.081795,144.336853,210.546951,,,
3,0.025000,-9.073047,144.362091,210.541794,,,
4,0.033000,-9.051654,144.369278,210.549362,,,
5,0.042000,-9.091294,144.342087,210.520630,,,
6,0.050000,-9.098591,144.328583,210.518417,,,
7,0.058000,-9.091339,144.334259,210.526276,,,
8,0.067000,-9.079519,144.350403,210.526276,,,
9,0.075000,-9.098243,144.377716,210.534897,,,
10,0.083000,-9.056429,144.352219,210.534378,,,
11,0.092000,-9.084971,144.350525,210.527634,,,
12,0.100000,-9.102422,144.332092,210.522644,,,
13,0.108000,-9.121059,144.349777,210.530579,,,
14,0.117000,-9.098096,144.365860,210.547394,,,
15,0.125000,-9.095944,144.354004,210.510666,,,
16,0.133000,-9.072994,144.357895,210.517960,,,
17,0.142000,-9.088313,144.360672,210.528152,,,
18,0.150000,-9.082224,144.371063,210.525391,,,
19,0.158000,-9.074998,144.368256,210.528122,,,
20,0.167000,-9.082428,144.372757,210.536560,,,
21,0.175000,-9.107565,144.354828,210.510162,,,
22,0.183000,-9.114824,144.333084,210.505432,,,
23,0.192000,-9.105862,144.349731,210.537048,,,
24,0.200000,-9.098047,144.354752,210.525925,,,
25,0.208000,-9.079123,144.346512,210.537003,,,
26,0.217000,-9.062827,144.375656,210.542480,,,
27,0.225000,-9.100354,144.332581,210.502426,,,
28,0.233000,-9.133766,144.316681,210.503403,,,
29,0.242000,-9.117384,144.322556,210.539062,,,
30,0.250000,-9.093053,144.345444,210.543045,,,
31,0.258000,-9.045385,144.373428,210.547104,,,
32,0.267000,-9.058006,144.365280,210.526016,,,
33,0.275000,-9.083523,144.359818,210.521606,,,
34,0.283000,-9.105639,144.365906,210.525040,,,
35,0.292000,-9.128181,144.337891,210.518204,,,
36,0.300000,-9.044912,144.360886,210.525955,,,
37,0.308000,-9.064282,144.383850,210.536423,,,
38,0.317000,-9.055253,144.373505,210.528809,,,
39,0.325000,-9.063137,144.332779,210.518555,,,
40,0.333000,-9.076374,144.355408,210.541183,,,
41,0.342000,-9.066792,144.367691,210.533997,,,
42,0.350000,-9.062087,144.358765,210.525253,,,
43,0.358000,-9.021064,144.348999,210.529251,,,
44,0.367000,-9.061386,144.358688,210.543671,,,
45,0.375000,-9.086097,144.352356,210.555145,,,
46,0.383000,-9.077574,144.357162,210.566345,,,
47,0.392000,-9.071616,144.338684,210.545822,,,
48,0.400000,-9.065172,144.316696,210.521133,,,
49,0.408000,-9.067235,144.319824,210.515442,,,
50,0.417000,-9.118998,144.358261,210.523590,,,
51,0.425000,-9.063173,144.364670,210.538239,,,
52,0.433000,-9.075088,144.389984,210.536880,,,
53,0.442000,-9.072483,144.347977,210.517075,,,
54,0.450000,-9.055869,144.336273,210.529846,,,
55,0.458000,-9.070558,144.346970,210.534134,,,
56,0.467000,-9.050713,144.318512,210.552368,,,
57,0.475000,-9.078892,144.341537,210.544571,,,
58,0.483000,-9.076293,144.337921,210.543747,,,
59,0.492000,-9.008050,144.342178,210.553543,,,
60,0.500000,-9.055233,144.345383,210.541733,,,
61,0.508000,-9.040686,144.354187,210.560318,,,
62,0.517000,-9.036067,144.352356,210.544678,,,
63,0.525000,-9.051119,144.335968,210.552338,,,
64,0.533000,-9.065313,144.307114,210.526520,,,
65,0.542000,-9.078388,144.332291,210.533386,,,
66,0.550000,-9.099878,144.309677,210.509277,,,
67,0.558000,-9.114574,144.306290,210.505737,,,
68,0.567000,-9.087812,144.333603,210.561508,,,
69,0.575000,-9.087956,144.358490,210.542068,,,
70,0.583000,-9.080551,144.326828,210.530273,,,
71,0.592000,-9.068683,144.318817,210.530823,,,
72,0.600000,-9.097238,144.324203,210.542435,,,
73,0.608000,-9.101550,144.322922,210.537491,,,
74,0.617000,-9.104675,144.353409,210.541611,,,
75,0.625000,-9.097668,144.329483,210.491425,,,
76,0.633000,-9.091963,144.339615,210.474686,,,
77,0.642000,-9.062163,144.341522,210.496582,,,
78,0.650000,-9.063907,144.333527,210.524414,,,
79,0.658000,-9.095681,144.359024,210.530472,,,
80,0.667000,-9.085377,144.340729,210.496902,,,
81,0.675000,-9.081994,144.355209,210.535950,,,
82,0.683000,-9.068870,144.332916,210.538773,,,
83,0.692000,-9.067271,144.343185,210.550491,,,
84,0.700000,-9.105071,144.351746,210.546509,,,
85,0.708000,-9.082772,144.330704,210.527847,,,
86,0.717000,-9.057977,144.352600,210.538055,,,
87,0.725000,-9.067442,144.337830,210.521713,,,
88,0.733000,-9.100911,144.346741,210.518631,,,
89,0.742000,-9.121193,144.324402,210.513275,,,
90,0.750000,-9.104935,144.325699,210.522690,,,
91,0.758000,-9.102926,144.330963,210.529160,,,
92,0.767000,-9.082825,144.315155,210.497635,,,
93,0.775000,-9.075983,144.316772,210.515671,,,
94,0.783000,-9.128146,144.305664,210.494934,,,
95,0.792000,-9.163465,144.350250,210.529877,,,
96,0.800000,-9.092644,144.361603,210.537048,,,
97,0.808000,-9.063550,144.363617,210.530365,,,
98,0.817000,-9.050216,144.349686,210.529236,,,
99,0.825000,-9.091371,144.361816,210.543182,,,
100,0.833000,-9.094748,144.326477,210.536819,,,
101,0.842000,-9.103106,144.327606,210.538116,,,
102,0.850000,-9.062312,144.359940,210.533646,,,
103,0.858000,-9.075584,144.358887,210.497665,,,
104,0.867000,-9.065520,144.356232,210.511841,,,
105,0.875000,-9.123635,144.337540,210.531189,,,
106,0.883000,-9.136933,144.331406,210.533463,,,
107,0.892000,-9.090911,144.346207,210.522964,,,
108,0.900000,-9.075405,144.350067,210.528381,,,
109,0.908000,-9.038301,144.351089,210.526474,,,
