time,x,z
0.0,0.0,0.0
0.008,-3.806600000000153e-05,1.791399999998e-05
0.017,2.342999999998402e-06,2.6015999999989825e-05
0.025,1.1090999999997797e-05,2.0858999999984196e-05
0.033,3.248399999999929e-05,2.8426999999969782e-05
0.042,-7.156000000001217e-06,-3.050000000059949e-07
0.05,-1.445300000000281e-05,-2.5180000000069036e-06
0.058,-7.201000000001817e-06,5.340999999964291e-06
0.067,4.61899999999911e-06,5.340999999964291e-06
0.075,-1.4105000000002102e-05,1.3961999999978492e-05
0.083,2.7708999999999026e-05,1.3442999999974115e-05
0.092,-8.330000000004306e-07,6.6989999999989e-06
0.1,-1.828400000000209e-05,1.7089999999886363e-06
0.108,-3.692100000000226e-05,9.643999999975339e-06
0.117,-1.3958000000001414e-05,2.6458999999978694e-05
0.125,-1.1806000000001357e-05,-1.0269000000034945e-05
0.133,1.114399999999939e-05,-2.9750000000439147e-06
0.142,-4.175000000000359e-06,7.216999999976048e-06
0.15,1.9139999999986945e-06,4.455999999986027e-06
0.158,9.139999999997761e-06,7.186999999964083e-06
0.167,1.7099999999985183e-06,1.562499999999134e-05
0.175,-2.342700000000121e-05,-1.0773000000019461e-05
0.183,-3.068600000000199e-05,-1.5503000000000045e-05
0.192,-2.1724000000000743e-05,1.611299999998428e-05
0.2,-1.3909000000001184e-05,4.9899999999825084e-06
0.208,5.01499999999884e-06,1.606799999998021e-05
0.217,2.1310999999997818e-05,2.1544999999983938e-05
0.225,-1.6216000000001188e-05,-1.8508999999999887e-05
0.233,-4.962800000000121e-05,-1.753200000004229e-05
0.242,-3.3246000000000664e-05,1.812699999997891e-05
0.25,-8.9150000000017e-06,2.210999999999186e-05
0.258,3.875299999999901e-05,2.6168999999964804e-05
0.267,2.6131999999998157e-05,5.080999999990121e-06
0.275,6.149999999989497e-07,6.709999999798821e-07
0.283,-2.1501000000001894e-05,4.1049999999764886e-06
0.292,-4.4043000000000554e-05,-2.7310000000335677e-06
0.3,3.922599999999811e-05,5.019999999994473e-06
0.308,1.9855999999998653e-05,1.5487999999980184e-05
0.317,2.8884999999997593e-05,7.8739999999633e-06
0.325,2.100099999999966e-05,-2.3800000000240296e-06
0.333,7.763999999998647e-06,2.0247999999972732e-05
0.342,1.734599999999968e-05,1.3061999999980367e-05
0.35,2.2050999999998627e-05,4.317999999975397e-06
0.358,6.307399999999803e-05,8.31599999998045e-06
0.367,2.2751999999997413e-05,2.273599999996767e-05
0.375,-1.959000000002764e-06,3.420999999997898e-05
0.383,6.563999999998835e-06,4.540999999999573e-05
0.392,1.2521999999997452e-05,2.4886999999973458e-05
0.4,1.8965999999998734e-05,1.9799999997904827e-07
0.408,1.690299999999867e-05,-5.493000000023063e-06
0.417,-3.486000000000114e-05,2.654999999990304e-06
0.425,2.096499999999779e-05,1.7303999999995767e-05
0.433,9.05000000000003e-06,1.594499999998944e-05
0.442,1.1654999999999305e-05,-3.860000000022179e-06
0.45,2.826899999999917e-05,8.91099999997258e-06
0.458,1.3579999999999148e-05,1.3198999999963767e-05
0.467,3.3424999999998387e-05,3.1432999999969624e-05
0.475,5.245999999998682e-06,2.3635999999965795e-05
0.483,7.84499999999938e-06,2.281199999998318e-05
0.492,7.608799999999846e-05,3.260799999996178e-05
0.5,2.890499999999921e-05,2.0797999999960792e-05
0.508,4.3451999999997645e-05,3.938299999997619e-05
0.517,4.8071000000000225e-05,2.3742999999992742e-05
0.525,3.3018999999998716e-05,3.1402999999985415e-05
0.533,1.8824999999998357e-05,5.584999999974638e-06
0.542,5.749999999998812e-06,1.245099999999666e-05
0.55,-1.5740000000001933e-05,-1.1658000000025481e-05
0.558,-3.0436000000000005e-05,-1.5198000000021805e-05
0.567,-3.6740000000003853e-06,4.05729999999882e-05
0.575,-3.818000000000918e-06,2.1132999999978752e-05
0.583,3.5869999999993407e-06,9.33799999996987e-06
0.592,1.545499999999929e-05,9.887999999985686e-06
0.6,-1.3100000000001999e-05,2.149999999997987e-05
0.608,-1.741200000000137e-05,1.6555999999973148e-05
0.617,-2.0537000000001027e-05,2.0675999999969497e-05
0.625,-1.353000000000118e-05,-2.9510000000038117e-05
0.633,-7.825000000001234e-06,-4.6249000000025964e-05
0.642,2.197499999999873e-05,-2.4353000000032488e-05
0.65,2.0230999999999028e-05,3.479000000000676e-06
0.658,-1.1543000000002746e-05,9.536999999976148e-06
0.667,-1.2390000000001011e-06,-2.4033000000006632e-05
0.675,2.1439999999990633e-06,1.5015000000007106e-05
0.683,1.5267999999998838e-05,1.7837999999964493e-05
0.692,1.6866999999998536e-05,2.955599999998615e-05
0.7,-2.093300000000249e-05,2.5573999999972674e-05
0.708,1.3659999999974387e-06,6.911999999997809e-06
0.717,2.6160999999998505e-05,1.7119999999981594e-05
0.725,1.6695999999998337e-05,7.779999999790732e-07
0.733,-1.6773000000001176e-05,-2.3040000000085215e-06
0.742,-3.7055000000001115e-05,-7.660000000020428e-06
0.75,-2.0797000000001217e-05,1.7549999999921795e-06
0.758,-1.878800000000222e-05,8.224999999972837e-06
0.767,1.3129999999993147e-06,-2.3300000000003873e-05
0.775,8.15499999999754e-06,-5.264000000032576e-06
0.783,-4.4007999999999894e-05,-2.6001000000025476e-05
0.792,-7.93270000000023e-05,8.941999999984018e-06
0.8,-8.506000000001873e-06,1.611299999998428e-05
0.808,2.058799999999847e-05,9.429999999976957e-06
0.817,3.3921999999996996e-05,8.300999999988345e-06
0.825,-7.233000000002321e-06,2.224699999997526e-05
0.833,-1.0610000000001174e-05,1.5883999999993792e-05
