time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_error_m,linear_velocity_m_s,angular_velocity_rad_s
0.001271,-4.787543,2.201373,0.820262,-4.743785,2.399889,0.203281,0.075000,1.000000
0.033654,-4.787543,2.201373,0.820262,-4.743785,2.399889,0.203281,0.075000,1.000000
0.066798,-4.787276,2.201660,0.823673,-4.743785,2.399889,0.202944,0.075000,1.000000
0.100055,-4.786882,2.202085,0.831173,-4.743785,2.399889,0.202445,0.075000,1.000000
0.133639,-4.785490,2.203632,0.855656,-4.743785,2.399889,0.200640,0.075000,1.000000
0.166770,-4.785490,2.203632,0.855656,-4.743785,2.399889,0.200640,0.075000,1.000000
0.200181,-4.785490,2.203632,0.855656,-4.743785,2.399889,0.200640,0.075000,1.000000
0.233499,-4.780598,2.209697,0.949028,-4.740509,2.413731,0.207936,0.075000,0.997501
0.267018,-4.779299,2.211509,0.977900,-4.740509,2.413731,0.205909,0.075000,0.953161
0.300345,-4.777410,2.214370,1.025350,-4.740509,2.413731,0.202748,0.075000,0.874333
0.333669,-4.776336,2.216165,1.054591,-4.740509,2.413731,0.200789,0.075000,0.822951
0.367028,-4.775615,2.217435,1.075017,-4.737201,2.427505,0.213553,0.075000,0.725195
0.400371,-4.774158,2.220186,1.114696,-4.737201,2.427505,0.210587,0.075000,0.655448
0.433730,-4.772757,2.223113,1.151665,-4.737201,2.427505,0.207461,0.075000,0.589014
0.466629,-4.771480,2.226034,1.184806,-4.737201,2.427505,0.204366,0.075000,0.527851
0.500227,-4.770912,2.227432,1.199701,-4.737201,2.427505,0.202893,0.075000,0.499658
0.533705,-4.769798,2.230351,1.225156,-4.733860,2.441204,0.213894,0.075000,0.411191
0.566621,-4.768828,2.233086,1.247054,-4.733860,2.441204,0.211035,0.075000,0.371105
0.600346,-4.768369,2.234453,1.257234,-4.733860,2.441204,0.209611,0.075000,0.352167
0.633655,-4.767546,2.237034,1.276490,-4.733860,2.441204,0.206930,0.075000,0.315130
0.667034,-4.766779,2.239599,1.295142,-4.733860,2.441204,0.204275,0.075000,0.277940
0.700375,-4.766372,2.241040,1.304668,-4.733860,2.441204,0.202787,0.075000,0.258687
0.733658,-4.765682,2.243606,1.317353,-4.733860,2.441204,0.200145,0.075000,0.233919
0.766615,-4.764991,2.246301,1.330230,-4.730485,2.454826,0.211360,0.075000,0.180971
0.800347,-4.764654,2.247679,1.335433,-4.730485,2.454826,0.209946,0.075000,0.171061
0.833589,-4.763933,2.250716,1.344056,-4.730485,2.454826,0.206832,0.075000,0.155365
0.866901,-4.763244,2.253722,1.351016,-4.730485,2.454826,0.203754,0.075000,0.142991
0.900310,-4.762904,2.255243,1.354609,-4.730485,2.454826,0.202199,0.075000,0.136331
0.933695,-4.762246,2.258265,1.361484,-4.727074,2.468365,0.213024,0.075000,0.101935
0.966795,-4.761945,2.259684,1.363985,-4.727074,2.468365,0.211574,0.075000,0.097432
