index,local_x_m,local_y_m,ideal_x_m,ideal_y_m
0,0.000000,0.000000,-0.182156,-0.047680
1,0.006283,0.004189,-0.174689,-0.046554
2,0.012566,0.008377,-0.167222,-0.045429
3,0.018849,0.012565,-0.159756,-0.044304
4,0.025132,0.016752,-0.152290,-0.043180
5,0.031414,0.020938,-0.144826,-0.042057
6,0.037695,0.025122,-0.137362,-0.040934
7,0.043976,0.029305,-0.129900,-0.039814
8,0.050256,0.033485,-0.122439,-0.038694
9,0.056535,0.037663,-0.114980,-0.037577
10,0.062813,0.041839,-0.107523,-0.036461
11,0.069091,0.046012,-0.100068,-0.035347
12,0.075366,0.050181,-0.092616,-0.034236
13,0.081641,0.054347,-0.085166,-0.033128
14,0.087914,0.058509,-0.077720,-0.032022
15,0.094186,0.062667,-0.070276,-0.030920
16,0.100456,0.066820,-0.062836,-0.029821
17,0.106724,0.070969,-0.055400,-0.028725
18,0.112990,0.075113,-0.047967,-0.027633
19,0.119255,0.079251,-0.040538,-0.026545
20,0.125517,0.083384,-0.033114,-0.025461
21,0.131777,0.087512,-0.025694,-0.024381
22,0.138035,0.091633,-0.018278,-0.023306
23,0.144290,0.095747,-0.010868,-0.022236
24,0.150543,0.099855,-0.003463,-0.021171
25,0.156793,0.103956,0.003937,-0.020111
26,0.163040,0.108049,0.011331,-0.019056
27,0.169285,0.112135,0.018720,-0.018007
28,0.175526,0.116213,0.026102,-0.016964
29,0.181765,0.120283,0.033478,-0.015927
30,0.188000,0.124345,0.040848,-0.014897
31,0.194232,0.128398,0.048211,-0.013873
32,0.200460,0.132441,0.055567,-0.012855
33,0.206685,0.136476,0.062916,-0.011845
34,0.212907,0.140501,0.070257,-0.010841
35,0.219125,0.144516,0.077592,-0.009845
36,0.225338,0.148521,0.084918,-0.008857
37,0.231548,0.152515,0.092236,-0.007876
38,0.237754,0.156499,0.099546,-0.006903
39,0.243956,0.160472,0.106848,-0.005939
40,0.250153,0.164433,0.114141,-0.004982
41,0.256346,0.168383,0.121425,-0.004035
42,0.262535,0.172321,0.128700,-0.003096
43,0.268718,0.176248,0.135965,-0.002166
44,0.274898,0.180161,0.143221,-0.001245
45,0.281072,0.184062,0.150468,-0.000334
46,0.287241,0.187950,0.157704,0.000567
47,0.293406,0.191825,0.164930,0.001459
48,0.299565,0.195687,0.172146,0.002341
49,0.305719,0.199535,0.179352,0.003213
50,0.311868,0.203368,0.186546,0.004074
51,0.318011,0.207188,0.193730,0.004925
52,0.324148,0.210993,0.200902,0.005764
53,0.330280,0.214783,0.208063,0.006593
54,0.336406,0.218558,0.215212,0.007411
55,0.342526,0.222318,0.222349,0.008217
56,0.348640,0.226062,0.229475,0.009012
57,0.354748,0.229790,0.236588,0.009795
58,0.360850,0.233502,0.243688,0.010566
59,0.366946,0.237198,0.250776,0.011324
60,0.373035,0.240877,0.257851,0.012071
61,0.379117,0.244539,0.264913,0.012805
62,0.385193,0.248184,0.271961,0.013526
63,0.391262,0.251812,0.278996,0.014234
64,0.397324,0.255422,0.286018,0.014930
65,0.403380,0.259014,0.293025,0.015612
66,0.409428,0.262587,0.300018,0.016280
67,0.415469,0.266143,0.306997,0.016935
68,0.421503,0.269679,0.313962,0.017576
69,0.427529,0.273197,0.320911,0.018203
70,0.433548,0.276696,0.327846,0.018816
71,0.439559,0.280175,0.334766,0.019414
72,0.445562,0.283634,0.341670,0.019998
73,0.451558,0.287074,0.348559,0.020568
74,0.457546,0.290494,0.355432,0.021122
75,0.463525,0.293893,0.362289,0.021661
76,0.469497,0.297271,0.369130,0.022186
77,0.475460,0.300629,0.375954,0.022694
78,0.481415,0.303965,0.382763,0.023187
79,0.487362,0.307280,0.389554,0.023665
80,0.493300,0.310574,0.396329,0.024126
81,0.499229,0.313846,0.403086,0.024572
82,0.505150,0.317095,0.409826,0.025001
83,0.511062,0.320323,0.416549,0.025414
84,0.516964,0.323528,0.423254,0.025810
85,0.522858,0.326710,0.429941,0.026190
86,0.528743,0.329870,0.436610,0.026553
87,0.534618,0.333006,0.443261,0.026898
88,0.540484,0.336119,0.449894,0.027227
89,0.546340,0.339208,0.456508,0.027538
90,0.552187,0.342274,0.463103,0.027832
